arch,norm,dataset,method,candidate,seed,clean,aa,evidence,source_sha256
r18,Linf,tinyimagenet,Ours,g19rt03,1,49.41,15.92,training_and_full_aa_checked,ff36b4e643acff2ed40c23af5ccb1f2d81508a55c7f92105bbd0de99682a3c46
r18,Linf,tinyimagenet,Ours,g19rt03,2,49.92,15.84,training_and_full_aa_checked,7b4bc94fa15567b7f1148caf57c7432bfabd5f4c7edd81f8c0f478e87ca02343
r18,Linf,tinyimagenet,PGD-AT,recorded_baseline,0,46.99,16.54,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,PGD-AT,recorded_baseline,1,46.72,16.4,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,PGD-AT,recorded_baseline,2,46.73,16.57,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,RAAT,recorded_baseline,0,49.52,15.26,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,RAAT,recorded_baseline,1,49.39,15.59,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,RAAT,recorded_baseline,2,48.14,15.07,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,RAAT++,recorded_baseline,0,40.89,16.43,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,RAAT++,recorded_baseline,1,40.1,16.5,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,RAAT++,recorded_baseline,2,41.29,16.32,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,TRADES,recorded_baseline,0,47.7,15.48,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,TRADES,recorded_baseline,1,47.67,15.39,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,TRADES,recorded_baseline,2,47.49,15.32,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
wrn,L2,cifar10,Ours,reference,0,91.75,71.61,native_result_record,5c360258c57ced35ea26fa4361932a0f13d14b08aa21c3175a5b90fd7848eaa5
wrn,L2,cifar10,Ours,reference,1,91.68,71.61,native_result_record,07a2d32d8325b0bbbe9ff400f4001e73a5edb15b9fd23b266382643a932e749b
wrn,L2,cifar10,Ours,reference,2,91.57,71.66,native_result_record,f5e1949a68d9428cb14079493973fb8eafaa937379247734d79b98ef1f7af2f1
